Team1,Team2,Rounds,Stadium,City,Day,Month,Year,Score1,Score2,Remarks
Croatia,England,Semi Finals,Luzhniki Stadium,Moscow,11,7,2018,2,1,Croatia win after extra time CRO win AET
Belgium,England,Play-off for third place,Saint Petersburg Stadium,St. Petersburg,14,7,2018,2,0,
France,Croatia,Finals,Luzhniki Stadium,Moscow,15,7,2018,4,2,
Brazil,Croatia,Group Phase,Arena de Sao Paulo,Sao Paulo,12,6,2014,3,1,
Mexico,Cameroon,Group Phase,Estadio das Dunas,Natal,13,6,2014,1,0,
Spain,Netherlands,Group Phase,Arena Fonte Nova,Salvador,13,6,2014,1,5,
Chile,Australia,Group Phase,Arena Pantanal,Cuiaba,13,6,2014,3,1,
Colombia,Greece,Group Phase,Estadio Mineirao,Belo Horizonte,14,6,2014,3,0,
Uruguay,Costa Rica,Group Phase,Estadio Castelao,Fortaleza,14,6,2014,1,3,
England,Italy,Group Phase,Arena Amazonia,Manaus,14,6,2014,1,2,
Côte d'Ivoire,Japan,Group Phase,Arena Pernambuco,Recife,14,6,2014,2,1,
Switzerland,Ecuador,Group Phase,Estadio Nacional,Brasilia,15,6,2014,2,1,
France,Honduras,Group Phase,Estadio Beira-Rio,Porto Alegre,15,6,2014,3,0,
Argentina,Bosnia and Herzegovina,Group Phase,Estadio do Maracana,Rio De Janeiro,15,6,2014,2,1,
Germany,Portugal,Group Phase,Arena Fonte Nova,Salvador,16,6,2014,4,0,
IR Iran,Nigeria,Group Phase,Arena da Baixada,Curitiba,16,6,2014,0,0,
Ghana,USA,Group Phase,Estadio das Dunas,Natal,16,6,2014,1,2,
Belgium,Algeria,Group Phase,Estadio Mineirao,Belo Horizonte,17,6,2014,2,1,
Brazil,Mexico,Group Phase,Estadio Castelao,Fortaleza,17,6,2014,0,0,
Russia,Korea Republic,Group Phase,Arena Pantanal,Cuiaba,17,6,2014,1,1,
Australia,Netherlands,Group Phase,Estadio Beira-Rio,Porto Alegre,18,6,2014,2,3,
Spain,Chile,Group Phase,Estadio do Maracana,Rio De Janeiro,18,6,2014,0,2,
Cameroon,Croatia,Group Phase,Arena Amazonia,Manaus,18,6,2014,0,4,
Colombia,Côte d'Ivoire,Group Phase,Estadio Nacional,Brasilia,19,6,2014,2,1,
Uruguay,England,Group Phase,Arena de Sao Paulo,Sao Paulo,19,6,2014,2,1,
Japan,Greece,Group Phase,Estadio das Dunas,Natal,19,6,2014,0,0,
Italy,Costa Rica,Group Phase,Arena Pernambuco,Recife,20,6,2014,0,1,
Switzerland,France,Group Phase,Arena Fonte Nova,Salvador,20,6,2014,2,5,
Honduras,Ecuador,Group Phase,Arena da Baixada,Curitiba,20,6,2014,1,2,
Argentina,IR Iran,Group Phase,Estadio Mineirao,Belo Horizonte,21,6,2014,1,0,
Germany,Ghana,Group Phase,Estadio Castelao,Fortaleza,21,6,2014,2,2,
Nigeria,Bosnia and Herzegovina,Group Phase,Arena Pantanal,Cuiaba,21,6,2014,1,0,
Belgium,Russia,Group Phase,Estadio do Maracana,Rio De Janeiro,22,6,2014,1,0,
Korea Republic,Algeria,Group Phase,Estadio Beira-Rio,Porto Alegre,22,6,2014,2,4,
USA,Portugal,Group Phase,Arena Amazonia,Manaus,22,6,2014,2,2,
Australia,Spain,Group Phase,Arena da Baixada,Curitiba,23,6,2014,0,3,
Netherlands,Chile,Group Phase,Arena de Sao Paulo,Sao Paulo,23,6,2014,2,0,
Cameroon,Brazil,Group Phase,Estadio Nacional,Brasilia,23,6,2014,1,4,
Croatia,Mexico,Group Phase,Arena Pernambuco,Recife,23,6,2014,1,3,
Italy,Uruguay,Group Phase,Estadio das Dunas,Natal,24,6,2014,0,1,
Costa Rica,England,Group Phase,Estadio Mineirao,Belo Horizonte,24,6,2014,0,0,
Japan,Colombia,Group Phase,Arena Pantanal,Cuiaba,24,6,2014,1,4,
Greece,Côte d'Ivoire,Group Phase,Estadio Castelao,Fortaleza,24,6,2014,2,1,
Nigeria,Argentina,Group Phase,Estadio Beira-Rio,Porto Alegre,25,6,2014,2,3,
Bosnia and Herzegovina,IR Iran,Group Phase,Arena Fonte Nova,Salvador,25,6,2014,3,1,
Honduras,Switzerland,Group Phase,Arena Amazonia,Manaus,25,6,2014,0,3,
Ecuador,France,Group Phase,Estadio do Maracana,Rio De Janeiro,25,6,2014,0,0,
USA,Germany,Group Phase,Arena Pernambuco,Recife,26,6,2014,0,1,
Portugal,Ghana,Group Phase,Estadio Nacional,Brasilia,26,6,2014,2,1,
Korea Republic,Belgium,Group Phase,Arena de Sao Paulo,Sao Paulo,26,6,2014,0,1,
Algeria,Russia,Group Phase,Arena da Baixada,Curitiba,26,6,2014,1,1,
Brazil,Chile,Round of 16,Estadio Mineirao,Belo Horizonte,28,6,2014,1,1,Brazil win on penalties (3 - 2)
Colombia,Uruguay,Round of 16,Estadio do Maracana,Rio De Janeiro,28,6,2014,2,0,
France,Nigeria,Round of 16,Estadio Nacional,Brasilia,30,6,2014,2,0,
Germany,Algeria,Round of 16,Estadio Beira-Rio,Porto Alegre,30,6,2014,2,1,Germany win after extra time
Brazil,Colombia,Quarter Finals,Estadio Castelao,Fortaleza,4,7,2014,2,1,
France,Germany,Quarter Finals,Estadio do Maracana,Rio De Janeiro,4,7,2014,0,1,
Brazil,Germany,Semi Finals,Estadio Mineirao,Belo Horizonte,8,7,2014,1,7,
Brazil,Netherlands,Play-off for third place,Estadio Nacional,Brasilia,12,7,2014,0,3,
Germany,Argentina,Finals,Estadio do Maracana,Rio De Janeiro,13,7,2014,1,0,Germany win after extra time
Netherlands,Argentina,Semi Finals,Arena de Sao Paulo,Sao Paulo,9,7,2014,0,0,Argentina win on penalties (2 - 4)
Netherlands,Costa Rica,Quarter Finals,Arena Fonte Nova,Salvador,5,7,2014,0,0,Netherlands win on penalties (4 - 3)
Argentina,Belgium,Quarter Finals,Estadio Nacional,Brasilia,5,7,2014,1,0,
Netherlands,Mexico,Round of 16,Estadio Castelao,Fortaleza,29,6,2014,2,1,
Costa Rica,Greece,Round of 16,Arena Pernambuco,Recife,29,6,2014,1,1,Costa Rica win on penalties (5 - 3)
Argentina,Switzerland,Round of 16,Arena de Sao Paulo,Sao Paulo,1,7,2014,1,0,Argentina win after extra time
Belgium,USA,Round of 16,Arena Fonte Nova,Salvador,1,7,2014,2,1,Belgium win after extra time
South Africa,Mexico,Group Phase,Soccer City Stadium,Johannesburg,11,6,2010,1,1,
Uruguay,France,Group Phase,Cape Town Stadium,Cape Town,11,6,2010,0,0,
Korea Republic,Greece,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,12,6,2010,2,0,
Argentina,Nigeria,Group Phase,Ellis Park Stadium,Johannesburg,12,6,2010,1,0,
England,USA,Group Phase,Royal Bafokeng Sports Palace,Phokeng,12,6,2010,1,1,
Algeria,Slovenia,Group Phase,Peter Mokaba Stadium,Polokwane,13,6,2010,0,1,
Serbia,Ghana,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,13,6,2010,0,1,
Germany,Australia,Group Phase,Durban Stadium,Durban,13,6,2010,4,0,
Netherlands,Denmark,Group Phase,Soccer City Stadium,Johannesburg,14,6,2010,2,0,
Japan,Cameroon,Group Phase,Free State Stadium,Mangaung/Bloemfontein,14,6,2010,1,0,
Italy,Paraguay,Group Phase,Cape Town Stadium,Cape Town,14,6,2010,1,1,
New Zealand,Slovakia,Group Phase,Royal Bafokeng Sports Palace,Phokeng,15,6,2010,1,1,
Côte d'Ivoire,Portugal,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,15,6,2010,0,0,
Brazil,Korea DPR,Group Phase,Ellis Park Stadium,Johannesburg,15,6,2010,2,1,
Honduras,Chile,Group Phase,Mbombela Stadium,Nelspruit,16,6,2010,0,1,
Spain,Switzerland,Group Phase,Durban Stadium,Durban,16,6,2010,0,1,
South Africa,Uruguay,Group Phase,Loftus Versfeld Stadium,Tshwane/Pretoria,16,6,2010,0,3,
Argentina,Korea Republic,Group Phase,Soccer City Stadium,Johannesburg,17,6,2010,4,1,
Greece,Nigeria,Group Phase,Free State Stadium,Mangaung/Bloemfontein,17,6,2010,2,1,
France,Mexico,Group Phase,Peter Mokaba Stadium,Polokwane,17,6,2010,0,2,
Germany,Serbia,Group Phase,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth,18,6,2010,0,1,
Slovenia,USA,Group Phase,Ellis Park Stadium,Johannesburg,18,6,2010,2,2,
England,Algeria,Group Phase,Cape Town Stadium,Cape Town,18,6,2010,0,0,
Netherlands,Japan,Group Phase,Durban Stadium,Durban,19,6,2010,1,0,
