Team1,Team2,Rounds,Stadium,City,Day,Month,Year,Score1,Score2,Remarks
Netherlands,Argentina,Group Phase,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,21,6,2006,0,0,
Côte d'Ivoire,Serbia and Montenegro,Group Phase,"FIFA World Cup Stadium, Munich",Munich,21,6,2006,3,2,
Czech Republic,Italy,Group Phase,"FIFA World Cup Stadium, Hamburg",Hamburg,22,6,2006,0,2,
Ghana,USA,Group Phase,Franken-Stadion,Nuremberg,22,6,2006,2,1,
Japan,Brazil,Group Phase,"FIFA World Cup Stadium, Dortmund",Dortmund,22,6,2006,1,4,
Croatia,Australia,Group Phase,Gottlieb-Daimler-Stadion,Stuttgart,22,6,2006,2,2,
Ukraine,Tunisia,Group Phase,Olympiastadion,Berlin,23,6,2006,1,0,
Saudi Arabia,Spain,Group Phase,Fritz-Walter-Stadion,Kaiserslautern,23,6,2006,0,1,
Togo,France,Group Phase,"FIFA World Cup Stadium, Cologne",Cologne,23,6,2006,0,2,
Switzerland,Korea Republic,Group Phase,"FIFA World Cup Stadium, Hanover",Hanover,23,6,2006,2,0,
Germany,Sweden,Round of 16,"FIFA World Cup Stadium, Munich",Munich,24,6,2006,2,0,
Argentina,Mexico,Round of 16,Zentralstadion,Leipzig,24,6,2006,2,1,Argentina win after extra time
England,Ecuador,Round of 16,Gottlieb-Daimler-Stadion,Stuttgart,25,6,2006,1,0,
Portugal,Netherlands,Round of 16,Franken-Stadion,Nuremberg,25,6,2006,1,0,
Italy,Australia,Round of 16,Fritz-Walter-Stadion,Kaiserslautern,26,6,2006,1,0,
Switzerland,Ukraine,Round of 16,"FIFA World Cup Stadium, Cologne",Cologne,26,6,2006,0,0,Ukraine win on penalties (0 - 3)
Brazil,Ghana,Round of 16,"FIFA World Cup Stadium, Dortmund",Dortmund,27,6,2006,3,0,
Spain,France,Round of 16,"FIFA World Cup Stadium, Hanover",Hanover,27,6,2006,1,3,
Germany,Argentina,Quarter Finals,Olympiastadion,Berlin,30,6,2006,1,1,Germany win on penalties (4 - 2)
Italy,Ukraine,Quarter Finals,"FIFA World Cup Stadium, Hamburg",Hamburg,30,6,2006,3,0,
England,Portugal,Quarter Finals,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen,1,7,2006,0,0,Portugal win on penalties (1 - 3)
Brazil,France,Quarter Finals,"FIFA World Cup Stadium, Frankfurt",Frankfurt/Main,1,7,2006,0,1,
Germany,Italy,Semi Finals,"FIFA World Cup Stadium, Dortmund",Dortmund,4,7,2006,0,2,Italy win after extra time
Portugal,France,Semi Finals,"FIFA World Cup Stadium, Munich",Munich,5,7,2006,0,1,
Germany,Portugal,Play-off for third place,Gottlieb-Daimler-Stadion,Stuttgart,8,7,2006,3,1,
Italy,France,Finals,Olympiastadion,Berlin,9,7,2006,1,1,Italy win on penalties (5 - 3)
