Team1,Team2,Rounds,Year_com,Day,Month,Year,Score1,Score2,Ranking T1,Score T1,Ranking T2,Score T2,Winner
Brazil,Croatia,Group Phase,2014-6-12,12,6,2014,3,1,3.0,1242,18.0,903,1
Mexico,Cameroon,Group Phase,2014-6-13,13,6,2014,1,0,20.0,882,56.0,558,1
Spain,Netherlands,Group Phase,2014-6-13,13,6,2014,1,5,1.0,1485,15.0,981,2
Chile,Australia,Group Phase,2014-6-13,13,6,2014,3,1,14.0,1026,62.0,526,1
Colombia,Greece,Group Phase,2014-6-14,14,6,2014,3,0,8.0,1137,12.0,1064,1
Uruguay,Costa Rica,Group Phase,2014-6-14,14,6,2014,1,3,7.0,1147,28.0,762,2
England,Italy,Group Phase,2014-6-14,14,6,2014,1,2,10.0,1090,9.0,1104,2
Côte dIvoire,Japan,Group Phase,2014-6-14,14,6,2014,2,1,23.0,809,46.0,626,1
Switzerland,Ecuador,Group Phase,2014-6-15,15,6,2014,2,1,6.0,1149,26.0,791,1
France,Honduras,Group Phase,2014-6-15,15,6,2014,3,0,17.0,913,33.0,731,1
Argentina,Bosnia and Herzegovina,Group Phase,2014-6-15,15,6,2014,2,1,5.0,1175,21.0,873,1
Germany,Portugal,Group Phase,2014-6-16,16,6,2014,4,0,2.0,1300,4.0,1189,1
IR Iran,Nigeria,Group Phase,2014-6-16,16,6,2014,0,0,43.0,641,44.0,640,0
Ghana,USA,Group Phase,2014-6-16,16,6,2014,1,2,37.0,704,13.0,1035,2
Belgium,Algeria,Group Phase,2014-6-17,17,6,2014,2,1,11.0,1074,22.0,858,1
Brazil,Mexico,Group Phase,2014-6-17,17,6,2014,0,0,3.0,1242,20.0,882,0
Russia,Korea Republic,Group Phase,2014-6-17,17,6,2014,1,1,19.0,893,57.0,547,0
Australia,Netherlands,Group Phase,2014-6-18,18,6,2014,2,3,62.0,526,15.0,981,2
Spain,Chile,Group Phase,2014-6-18,18,6,2014,0,2,1.0,1485,14.0,1026,2
Cameroon,Croatia,Group Phase,2014-6-18,18,6,2014,0,4,56.0,558,18.0,903,2
Colombia,Côte dIvoire,Group Phase,2014-6-18,19,6,2014,2,1,8.0,1137,23.0,809,1
Uruguay,England,Group Phase,2014-6-19,19,6,2014,2,1,7.0,1147,10.0,1090,1
Japan,Greece,Group Phase,2014-6-19,19,6,2014,0,0,46.0,626,12.0,1064,0
Italy,Costa Rica,Group Phase,2014-6-20,20,6,2014,0,1,9.0,1104,28.0,762,2
Switzerland,France,Group Phase,2014-6-20,20,6,2014,2,5,6.0,1149,17.0,913,2
Honduras,Ecuador,Group Phase,2014-6-20,20,6,2014,1,2,33.0,731,26.0,791,2
Argentina,IR Iran,Group Phase,2014-6-21,21,6,2014,1,0,5.0,1175,43.0,641,1
