,Team1,Team2,Rounds,Year_com,Day,Month,Year,Score1,Score2,Ranking T1,Score T1,Ranking T2,Score T2,goals_z_x,team_x,xg_z_x,crosses_z_x,boxtouches_z_x,passes_z_x,progpasses_z_x,takeons_z_x,progruns_z_x,tackles_z_x,interceptions_z_x,clearances_z_x,blocks_z_x,aerials_z_x,fouls_z_x,fouled_z_x,nsxg_z_x,goals_z_y,team_y,xg_z_y,crosses_z_y,boxtouches_z_y,passes_z_y,progpasses_z_y,takeons_z_y,progruns_z_y,tackles_z_y,interceptions_z_y,clearances_z_y,blocks_z_y,aerials_z_y,fouls_z_y,fouled_z_y,nsxg_z_y,winner,Winner,team1_winning,team2_winning
0,Russia,Saudi Arabia,Group Phase,2018-6-14,14.0,6.0,2018.0,5.0,0.0,70.0,457.0,67.0,465.0,0.3150000000000001,Russia,-0.104375,-0.033125,-0.06875000000000002,-0.315625,-0.04937499999999998,-0.17687499999999998,-0.159375,-0.375,-0.12875000000000006,0.246875,-0.10812499999999996,0.673125,0.4325,-0.155,-0.0006250000000000006,-0.1852631578947368,Saudi Arabia,-0.07473684210526317,-0.017894736842105255,-0.3457894736842105,0.2615789473684211,-0.05473684210526318,-0.13631578947368425,0.07368421052631584,0.5126315789473684,0.12631578947368424,-0.24631578947368415,0.2094736842105263,-0.4663157894736842,-0.3873684210526316,0.051578947368421016,-0.29421052631578953,Russia,1,0,0
1,Egypt,Uruguay,Group Phase,2018-6-15,15.0,6.0,2018.0,0.0,1.0,45.0,649.0,14.0,1018.0,-0.14874999999999994,Egypt,-0.14875000000000002,-0.07,-0.05125,-0.10125000000000002,0.13625000000000004,-0.26062500000000005,0.12312500000000005,-0.15000000000000002,0.38875,0.263125,-0.06874999999999999,-0.06374999999999997,0.01999999999999999,-0.358125,-0.018750000000000017,0.14125000000000004,Uruguay,0.13937499999999994,0.181875,-0.020625000000000004,0.121875,0.21875,-0.080625,0.025000000000000012,-0.04374999999999999,0.891875,0.014999999999999972,-0.05625,-0.06687499999999999,-0.13000000000000006,0.11625,0.04187499999999997,Uruguay,2,0,0
2,Morocco,IR Iran,Group Phase,2018-6-15,15.0,6.0,2018.0,0.0,1.0,41.0,686.0,37.0,708.0,-0.264375,Morocco,-0.143125,0.16875,0.003124999999999989,-0.14499999999999996,-0.19937499999999994,0.2025,-0.03874999999999999,0.08312499999999998,-0.080625,-0.18000000000000002,0.05750000000000002,0.13437499999999994,0.6506250000000001,0.02937499999999998,-0.07250000000000004,-0.264375,IR Iran,-0.10000000000000003,-0.16499999999999998,-0.35125,-0.7725000000000002,-0.549375,-0.10624999999999997,-0.4356249999999999,-0.70125,-0.60875,0.28937500000000005,-0.3275000000000001,-0.08249999999999992,0.2,0.23625,-0.3881250000000001,IR Iran,2,0,0
3,Portugal,Spain,Group Phase,2018-6-15,15.0,6.0,2018.0,3.0,3.0,4.0,1274.0,10.0,1126.0,0.11000000000000006,Portugal,-0.058235294117647066,0.17529411764705885,-0.12411764705882355,0.08882352941176473,-0.007647058823529464,0.1370588235294118,0.002941176470588225,0.0735294117647059,0.1052941176470588,-0.1094117647058824,-0.25941176470588234,0.08705882352941181,0.04470588235294115,0.1458823529411765,-0.07176470588235295,0.1105882352941177,Spain,0.3611764705882352,0.2758823529411765,0.5629411764705884,1.351764705882353,0.4076470588235293,0.4282352941176471,0.8000000000000002,0.5135294117647059,0.4564705882352942,-0.3747058823529412,-0.008823529411764716,-0.14000000000000004,-0.4,0.14588235294117646,0.6447058823529411,-1,0,0,0
4,France,Australia,Group Phase,2018-6-16,16.0,6.0,2018.0,2.0,1.0,7.0,1198.0,36.0,718.0,0.037000000000000095,France,-0.06700000000000003,-0.2115,-0.16550000000000006,-0.10749999999999996,-0.153,-0.0345,-0.13299999999999998,-0.1085,-0.1185,0.027499999999999983,-0.128,-0.11349999999999995,-0.076,-0.015500000000000009,-0.1945,-0.1333333333333333,Australia,0.005999999999999952,0.31533333333333324,0.06600000000000003,0.3246666666666666,0.37666666666666665,0.09733333333333334,-0.02933333333333332,0.03133333333333326,-0.02266666666666669,0.22133333333333333,-0.3413333333333334,0.24066666666666664,0.09599999999999996,-0.07133333333333339,0.0039999999999999775,France,1,0,0
5,Argentina,Iceland,Group Phase,2018-6-16,16.0,6.0,2018.0,1.0,1.0,5.0,1241.0,22.0,908.0,0.05894736842105264,Argentina,-0.13578947368421052,-0.07578947368421053,-0.016315789473684197,0.24631578947368415,-0.26210526315789473,0.16315789473684209,0.42157894736842105,0.5773684210526315,0.14684210526315788,-0.11473684210526315,-0.037894736842105266,-0.14000000000000004,-0.058421052631578985,0.29368421052631577,0.0021052631578947385,-0.13333333333333333,Iceland,0.20066666666666672,0.11200000000000003,0.17266666666666672,-0.5326666666666667,-0.08533333333333333,-0.09466666666666664,-0.24866666666666665,-0.6293333333333334,-0.49,0.37733333333333335,-0.15599999999999994,0.2206666666666667,3.7007434154171884e-18,-0.23733333333333334,0.039333333333333366,-1,0,0,0
6,Peru,Denmark,Group Phase,2018-6-16,16.0,6.0,2018.0,0.0,1.0,11.0,1125.0,12.0,1051.0,-0.1333333333333333,Peru,-0.21333333333333326,-0.14266666666666666,0.10466666666666673,0.1413333333333333,0.2813333333333333,-0.06666666666666668,0.1733333333333333,0.38533333333333336,0.11466666666666668,0.2773333333333333,0.14000000000000007,-0.08600000000000001,-1.4802973661668754e-17,0.14733333333333326,-0.04533333333333333,-0.13470588235294112,Denmark,-0.26941176470588235,-0.16176470588235295,-0.027647058823529462,-0.15470588235294114,-0.052941176470588255,-0.1358823529411765,-0.29470588235294115,-0.26941176470588235,-0.2735294117647059,0.3641176470588235,0.07764705882352943,0.4411764705882353,0.0023529411764705898,-0.4194117647058823,-0.06941176470588235,Denmark,2,0,0
7,Croatia,Nigeria,Group Phase,2018-6-16,16.0,6.0,2018.0,2.0,0.0,20.0,945.0,48.0,618.0,0.08333333333333333,Croatia,0.01761904761904759,-0.17142857142857146,-0.251904761904762,-0.15285714285714286,-0.18476190476190474,-0.06571428571428571,-0.18190476190476187,-0.1776190476190476,-0.006190476190476196,0.1561904761904762,0.11857142857142862,0.09619047619047616,-0.12571428571428575,-0.08857142857142859,-0.2961904761904762,-0.009999999999999972,Nigeria,-0.09333333333333337,-0.040666666666666657,0.008000000000000023,-0.10666666666666667,0.172,0.5093333333333334,-0.18866666666666668,-0.042,0.11866666666666666,0.22,-0.18600000000000003,0.2966666666666667,0.22400000000000006,0.28600000000000003,-0.092,Croatia,1,0,0
8,Costa Rica,Serbia,Group Phase,2018-6-17,17.0,6.0,2018.0,0.0,1.0,23.0,884.0,34.0,751.0,-0.264375,Costa Rica,-0.15750000000000006,0.02812500000000001,-0.19625,-0.25,0.109375,0.1,-0.421875,-0.32,-0.2375,0.14312499999999995,-0.22562499999999994,0.07812499999999999,0.13999999999999996,-0.023125000000000014,-0.20812500000000006,-0.11571428571428573,Serbia,-0.025714285714285724,0.31928571428571434,0.5528571428571428,-0.022142857142857148,0.2657142857142857,0.18357142857142855,0.2635714285714286,0.07357142857142855,-0.3792857142857144,0.1564285714285714,0.18642857142857147,0.5064285714285715,0.4228571428571428,0.195,0.4857142857142857,Serbia,2,0,0
9,Germany,Mexico,Group Phase,2018-6-17,17.0,6.0,2018.0,0.0,1.0,1.0,1558.0,15.0,989.0,-0.195,Germany,0.1325,0.1875,0.7364999999999999,0.4265000000000001,0.4705,-0.16450000000000006,0.725,0.34,0.259,-0.4784999999999999,0.053000000000000005,-0.23,-0.424,-0.07849999999999999,0.728,0.016428571428571438,Mexico,0.18857142857142856,0.1557142857142857,0.23142857142857146,0.1678571428571429,0.4178571428571428,0.5942857142857143,0.8214285714285714,0.4757142857142858,0.39642857142857146,0.047857142857142834,0.8842857142857147,-0.028571428571428564,0.07999999999999995,0.2828571428571429,0.245,Mexico,2,0,0
