,Team1,Team2,Rounds,Year_com,Day,Month,Year,Score1,Score2,Ranking T1,Score T1,Ranking T2,Score T2,NW1,NF1,ND1,NW2,NF2,ND2
355,Brazil,Norway,Group Phase,1998-6-23,23.0,6.0,1998.0,1.0,2.0,1.0,71.0,7.0,59.0,69,9,22,48,20,32
356,France,Denmark,Group Phase,1998-6-24,24.0,6.0,1998.0,2.0,1.0,18.0,56.0,27.0,52.0,55,13,32,50,23,27
357,South Africa,Saudi Arabia,Group Phase,1998-6-24,24.0,6.0,1998.0,2.0,2.0,24.0,54.0,34.0,50.0,45,27,19,52,24,24
358,Spain,Bulgaria,Group Phase,1998-6-24,24.0,6.0,1998.0,6.0,1.0,15.0,56.0,35.0,50.0,56,18,26,41,34,25
359,Nigeria,Paraguay,Group Phase,1998-6-24,24.0,6.0,1998.0,1.0,3.0,74.0,36.0,29.0,52.0,44,28,28,44,32,24
360,Belgium,Korea Republic,Group Phase,1998-6-25,25.0,6.0,1998.0,1.0,1.0,36.0,50.0,20.0,55.0,45,28,27,48,22,30
361,Netherlands,Mexico,Group Phase,1998-6-25,25.0,6.0,1998.0,2.0,2.0,25.0,54.0,4.0,61.0,57,20,23,45,25,30
362,Germany,IR Iran,Group Phase,1998-6-25,25.0,6.0,1998.0,2.0,0.0,2.0,64.0,42.0,47.0,64,12,24,49,23,28
363,USA,Yugoslavia,Group Phase,1998-6-25,25.0,6.0,1998.0,0.0,1.0,11.0,58.0,8.0,59.0,41,32,27,54,28,18
364,Japan,Jamaica,Group Phase,1998-6-26,26.0,6.0,1998.0,1.0,2.0,12.0,57.0,30.0,52.0,50,27,23,48,24,28
365,Argentina,Croatia,Group Phase,1998-6-26,26.0,6.0,1998.0,1.0,0.0,6.0,60.0,19.0,55.0,49,17,34,39,14,17
366,Romania,Tunisia,Group Phase,1998-6-26,26.0,6.0,1998.0,1.0,1.0,22.0,54.0,21.0,55.0,53,24,23,48,23,29
367,Colombia,England,Group Phase,1998-6-26,26.0,6.0,1998.0,0.0,2.0,10.0,58.0,5.0,60.0,42,23,35,51,14,35
368,Italy,Norway,Round of 16,1998-6-27,27.0,6.0,1998.0,1.0,0.0,14.0,56.0,7.0,59.0,57,15,28,48,20,32
369,Brazil,Chile,Round of 16,1998-6-27,27.0,6.0,1998.0,4.0,1.0,1.0,71.0,9.0,58.0,69,9,22,43,33,24
370,France,Paraguay,Round of 16,1998-6-28,28.0,6.0,1998.0,1.0,0.0,18.0,56.0,29.0,52.0,55,13,32,44,32,24
371,Nigeria,Denmark,Round of 16,1998-6-28,28.0,6.0,1998.0,1.0,4.0,74.0,36.0,27.0,52.0,44,28,28,50,23,27
372,Germany,Mexico,Round of 16,1998-6-29,29.0,6.0,1998.0,2.0,1.0,2.0,64.0,4.0,61.0,64,12,24,45,25,30
373,Netherlands,Yugoslavia,Round of 16,1998-6-29,29.0,6.0,1998.0,2.0,1.0,25.0,54.0,8.0,59.0,57,20,23,54,28,18
374,Romania,Croatia,Round of 16,1998-6-30,30.0,6.0,1998.0,0.0,1.0,22.0,54.0,19.0,55.0,53,24,23,39,14,17
375,Argentina,England,Round of 16,1998-6-30,30.0,6.0,1998.0,2.0,2.0,6.0,60.0,5.0,60.0,49,17,34,51,14,35
376,Italy,France,Quarter Finals,1998-7-3,3.0,7.0,1998.0,0.0,0.0,14.0,56.0,18.0,56.0,57,15,28,55,13,32
377,Brazil,Denmark,Quarter Finals,1998-7-3,3.0,7.0,1998.0,3.0,2.0,1.0,71.0,27.0,52.0,69,9,22,50,23,27
378,Netherlands,Argentina,Quarter Finals,1998-7-4,4.0,7.0,1998.0,2.0,1.0,25.0,54.0,6.0,60.0,57,20,23,49,17,34
379,Germany,Croatia,Quarter Finals,1998-7-4,4.0,7.0,1998.0,0.0,3.0,2.0,64.0,19.0,55.0,64,12,24,39,14,17
380,Brazil,Netherlands,Semi Finals,1998-7-7,7.0,7.0,1998.0,1.0,1.0,1.0,71.0,25.0,54.0,69,9,22,57,20,23
381,France,Croatia,Semi Finals,1998-7-8,8.0,7.0,1998.0,2.0,1.0,18.0,56.0,19.0,55.0,55,13,32,39,14,17
382,Netherlands,Croatia,Play-off for third place,1998-7-11,11.0,7.0,1998.0,1.0,2.0,25.0,54.0,19.0,55.0,57,20,23,39,14,17
383,Brazil,France,Finals,1998-7-12,12.0,7.0,1998.0,0.0,3.0,1.0,71.0,18.0,56.0,69,9,22,55,13,32
384,Spain,Korea Republic,Group Phase,1994-6-17,17.0,6.0,1994.0,2.0,2.0,5.0,55.0,37.0,37.0,54,23,23,53,16,31
385,Germany,Bolivia,Group Phase,1994-6-17,17.0,6.0,1994.0,1.0,0.0,1.0,59.0,43.0,35.0,56,18,26,22,50,28
386,USA,Switzerland,Group Phase,1994-6-18,18.0,6.0,1994.0,1.0,1.0,23.0,46.0,12.0,53.0,32,38,30,42,30,28
387,Italy,Republic of Ireland,Group Phase,1994-6-18,18.0,6.0,1994.0,0.0,1.0,4.0,56.0,14.0,52.0,56,18,26,0,0,0
388,Colombia,Romania,Group Phase,1994-6-18,18.0,6.0,1994.0,1.0,3.0,17.0,51.0,7.0,55.0,47,20,33,49,24,27
389,Belgium,Morocco,Group Phase,1994-6-19,19.0,6.0,1994.0,1.0,0.0,27.0,43.0,28.0,43.0,45,30,25,39,24,37
390,Norway,Mexico,Group Phase,1994-6-19,19.0,6.0,1994.0,1.0,0.0,6.0,55.0,16.0,51.0,38,31,31,52,20,28
391,Cameroon,Sweden,Group Phase,1994-6-19,19.0,6.0,1994.0,2.0,2.0,24.0,45.0,10.0,54.0,46,21,33,54,22,24
392,Netherlands,Saudi Arabia,Group Phase,1994-6-20,20.0,6.0,1994.0,2.0,1.0,2.0,59.0,34.0,39.0,55,21,24,46,27,27
393,Brazil,Russia,Group Phase,1994-6-20,20.0,6.0,1994.0,2.0,0.0,3.0,58.0,19.0,49.0,57,15,28,49,20,31
394,Argentina,Greece,Group Phase,1994-6-21,21.0,6.0,1994.0,4.0,0.0,8.0,55.0,31.0,41.0,38,24,38,38,34,28
395,Nigeria,Bulgaria,Group Phase,1994-6-21,21.0,6.0,1994.0,3.0,0.0,11.0,54.0,29.0,43.0,45,23,32,39,33,28
396,Germany,Spain,Group Phase,1994-6-21,21.0,6.0,1994.0,1.0,1.0,1.0,59.0,5.0,55.0,56,18,26,54,23,23
397,Romania,Switzerland,Group Phase,1994-6-22,22.0,6.0,1994.0,1.0,4.0,7.0,55.0,12.0,53.0,49,24,27,42,30,28
398,USA,Colombia,Group Phase,1994-6-22,22.0,6.0,1994.0,2.0,1.0,23.0,46.0,17.0,51.0,32,38,30,47,20,33
399,Italy,Norway,Group Phase,1994-6-23,23.0,6.0,1994.0,1.0,0.0,4.0,56.0,6.0,55.0,56,18,26,38,31,31
400,Korea Republic,Bolivia,Group Phase,1994-6-23,23.0,6.0,1994.0,0.0,0.0,37.0,37.0,43.0,35.0,53,16,31,22,50,28
401,Mexico,Republic of Ireland,Group Phase,1994-6-24,24.0,6.0,1994.0,2.0,1.0,16.0,51.0,14.0,52.0,52,20,28,0,0,0
402,Sweden,Russia,Group Phase,1994-6-24,24.0,6.0,1994.0,3.0,1.0,10.0,54.0,19.0,49.0,54,22,24,49,20,31
403,Brazil,Cameroon,Group Phase,1994-6-24,24.0,6.0,1994.0,3.0,0.0,3.0,58.0,24.0,45.0,57,15,28,46,21,33
404,Belgium,Netherlands,Group Phase,1994-6-25,25.0,6.0,1994.0,1.0,0.0,27.0,43.0,2.0,59.0,45,30,25,55,21,24
405,Saudi Arabia,Morocco,Group Phase,1994-6-25,25.0,6.0,1994.0,2.0,1.0,34.0,39.0,28.0,43.0,46,27,27,39,24,37
406,Argentina,Nigeria,Group Phase,1994-6-25,25.0,6.0,1994.0,2.0,1.0,8.0,55.0,11.0,54.0,38,24,38,45,23,32
407,Bulgaria,Greece,Group Phase,1994-6-26,26.0,6.0,1994.0,4.0,0.0,29.0,43.0,31.0,41.0,39,33,28,38,34,28
408,USA,Romania,Group Phase,1994-6-26,26.0,6.0,1994.0,0.0,1.0,23.0,46.0,7.0,55.0,32,38,30,49,24,27
409,Switzerland,Colombia,Group Phase,1994-6-26,26.0,6.0,1994.0,0.0,2.0,12.0,53.0,17.0,51.0,42,30,28,47,20,33
410,Germany,Korea Republic,Group Phase,1994-6-27,27.0,6.0,1994.0,3.0,2.0,1.0,59.0,37.0,37.0,56,18,26,53,16,31
411,Bolivia,Spain,Group Phase,1994-6-27,27.0,6.0,1994.0,1.0,3.0,43.0,35.0,5.0,55.0,22,50,28,54,23,23
412,Republic of Ireland,Norway,Group Phase,1994-6-28,28.0,6.0,1994.0,0.0,0.0,14.0,52.0,6.0,55.0,0,0,0,38,31,31
413,Brazil,Sweden,Group Phase,1994-6-28,28.0,6.0,1994.0,1.0,1.0,3.0,58.0,10.0,54.0,57,15,28,54,22,24
414,Italy,Mexico,Group Phase,1994-6-28,28.0,6.0,1994.0,1.0,1.0,4.0,56.0,16.0,51.0,56,18,26,52,20,28
415,Russia,Cameroon,Group Phase,1994-6-28,28.0,6.0,1994.0,6.0,1.0,19.0,49.0,24.0,45.0,49,20,31,46,21,33
416,Morocco,Netherlands,Group Phase,1994-6-29,29.0,6.0,1994.0,1.0,2.0,28.0,43.0,2.0,59.0,39,24,37,55,21,24
417,Belgium,Saudi Arabia,Group Phase,1994-6-29,29.0,6.0,1994.0,0.0,1.0,27.0,43.0,34.0,39.0,45,30,25,46,27,27
418,Greece,Nigeria,Group Phase,1994-6-30,30.0,6.0,1994.0,0.0,2.0,31.0,41.0,11.0,54.0,38,34,28,45,23,32
419,Argentina,Bulgaria,Group Phase,1994-6-30,30.0,6.0,1994.0,0.0,2.0,8.0,55.0,29.0,43.0,38,24,38,39,33,28
420,Germany,Belgium,Round of 16,1994-7-2,2.0,7.0,1994.0,3.0,2.0,1.0,59.0,27.0,43.0,56,18,26,45,30,25
421,Spain,Switzerland,Round of 16,1994-7-2,2.0,7.0,1994.0,3.0,0.0,5.0,55.0,12.0,53.0,54,23,23,42,30,28
422,Saudi Arabia,Sweden,Round of 16,1994-7-3,3.0,7.0,1994.0,1.0,3.0,34.0,39.0,10.0,54.0,46,27,27,54,22,24
423,Romania,Argentina,Round of 16,1994-7-3,3.0,7.0,1994.0,3.0,2.0,7.0,55.0,8.0,55.0,49,24,27,38,24,38
424,Netherlands,Republic of Ireland,Round of 16,1994-7-4,4.0,7.0,1994.0,2.0,0.0,2.0,59.0,14.0,52.0,55,21,24,0,0,0
425,Brazil,USA,Round of 16,1994-7-4,4.0,7.0,1994.0,1.0,0.0,3.0,58.0,23.0,46.0,57,15,28,32,38,30
426,Nigeria,Italy,Round of 16,1994-7-5,5.0,7.0,1994.0,1.0,2.0,11.0,54.0,4.0,56.0,45,23,32,56,18,26
427,Mexico,Bulgaria,Round of 16,1994-7-5,5.0,7.0,1994.0,1.0,1.0,16.0,51.0,29.0,43.0,52,20,28,39,33,28
428,Italy,Spain,Quarter Finals,1994-7-9,9.0,7.0,1994.0,2.0,1.0,4.0,56.0,5.0,55.0,56,18,26,54,23,23
429,Netherlands,Brazil,Quarter Finals,1994-7-9,9.0,7.0,1994.0,2.0,3.0,2.0,59.0,3.0,58.0,55,21,24,57,15,28
430,Bulgaria,Germany,Quarter Finals,1994-7-10,10.0,7.0,1994.0,2.0,1.0,29.0,43.0,1.0,59.0,39,33,28,56,18,26
431,Romania,Sweden,Quarter Finals,1994-7-10,10.0,7.0,1994.0,2.0,2.0,7.0,55.0,10.0,54.0,49,24,27,54,22,24
432,Bulgaria,Italy,Semi Finals,1994-7-13,13.0,7.0,1994.0,1.0,2.0,29.0,43.0,4.0,56.0,39,33,28,56,18,26
433,Sweden,Brazil,Semi Finals,1994-7-13,13.0,7.0,1994.0,0.0,1.0,10.0,54.0,3.0,58.0,54,22,24,57,15,28
434,Sweden,Bulgaria,Play-off for third place,1994-7-16,16.0,7.0,1994.0,4.0,0.0,10.0,54.0,29.0,43.0,54,22,24,39,33,28
435,Brazil,Italy,Finals,1994-7-17,17.0,7.0,1994.0,0.0,0.0,3.0,58.0,4.0,56.0,57,15,28,56,18,26
436,Spain,Korea Republic,Group Phase,1990-6-8,8.0,6.0,1990.0,0.0,1.0,0.0,0.0,0.0,0.0,50,25,25,58,20,22
437,Russia,Romania,Group Phase,1990-6-9,9.0,6.0,1990.0,0.0,2.0,0.0,0.0,0.0,0.0,54,20,26,42,29,29
438,United Arab Emirates,Colombia,Group Phase,1990-6-9,9.0,6.0,1990.0,0.0,2.0,0.0,0.0,0.0,0.0,42,35,23,39,33,28
439,Italy,Republic of Ireland,Group Phase,1990-6-9,9.0,6.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,50,20,30,0,0,0
440,USA,Czech Republic,Group Phase,1990-6-10,10.0,6.0,1990.0,1.0,5.0,0.0,0.0,0.0,0.0,33,39,28,42,30,28
441,Brazil,Sweden,Group Phase,1990-6-10,10.0,6.0,1990.0,2.0,1.0,0.0,0.0,0.0,0.0,58,15,27,50,26,24
442,Germany,Yugoslavia,Group Phase,1990-6-10,10.0,6.0,1990.0,4.0,1.0,0.0,0.0,0.0,0.0,57,19,24,52,29,19
443,Costa Rica,Scotland,Group Phase,1990-6-11,11.0,6.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,36,27,37,40,34,26
444,Netherlands,Saudi Arabia,Group Phase,1990-6-11,11.0,6.0,1990.0,1.0,1.0,0.0,0.0,0.0,0.0,52,28,20,41,31,28
445,Belgium,Korea Republic,Group Phase,1990-6-12,12.0,6.0,1990.0,2.0,0.0,0.0,0.0,0.0,0.0,44,30,26,58,20,22
446,Netherlands,Egypt,Group Phase,1990-6-12,12.0,6.0,1990.0,1.0,1.0,0.0,0.0,0.0,0.0,52,28,20,41,28,31
447,Uruguay,Spain,Group Phase,1990-6-13,13.0,6.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,51,20,29,50,25,25
448,Argentina,Russia,Group Phase,1990-6-13,13.0,6.0,1990.0,2.0,0.0,0.0,0.0,0.0,0.0,34,29,37,54,20,26
449,Cameroon,Romania,Group Phase,1990-6-14,14.0,6.0,1990.0,2.0,1.0,0.0,0.0,0.0,0.0,49,22,29,42,29,29
450,Yugoslavia,Colombia,Group Phase,1990-6-14,14.0,6.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,52,29,19,39,33,28
451,Italy,USA,Group Phase,1990-6-14,14.0,6.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,50,20,30,33,39,28
452,Korea Republic,Bolivia,Group Phase,1990-6-15,15.0,6.0,1990.0,0.0,1.0,0.0,0.0,0.0,0.0,58,20,22,20,60,20
453,Mexico,Republic of Ireland,Group Phase,1990-6-15,15.0,6.0,1990.0,5.0,1.0,0.0,0.0,0.0,0.0,57,17,26,0,0,0
454,Brazil,Costa Rica,Group Phase,1990-6-16,16.0,6.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,58,15,27,36,27,37
455,Sweden,Scotland,Group Phase,1990-6-16,16.0,6.0,1990.0,1.0,2.0,0.0,0.0,0.0,0.0,50,26,24,40,34,26
456,England,Netherlands,Group Phase,1990-6-16,16.0,6.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,51,19,30,52,28,20
457,Saudi Arabia,Morocco,Group Phase,1990-6-17,17.0,6.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,41,31,28,40,25,35
458,Korea Republic,Spain,Group Phase,1990-6-17,17.0,6.0,1990.0,1.0,3.0,0.0,0.0,0.0,0.0,58,20,22,50,25,25
459,Belgium,Uruguay,Group Phase,1990-6-17,17.0,6.0,1990.0,3.0,1.0,0.0,0.0,0.0,0.0,44,30,26,51,20,29
460,Argentina,Romania,Group Phase,1990-6-18,18.0,6.0,1990.0,1.0,1.0,0.0,0.0,0.0,0.0,34,29,37,42,29,29
461,Cameroon,Russia,Group Phase,1990-6-18,18.0,6.0,1990.0,0.0,4.0,0.0,0.0,0.0,0.0,49,22,29,54,20,26
462,Germany,Korea Republic,Group Phase,1990-6-19,19.0,6.0,1990.0,1.0,1.0,0.0,0.0,0.0,0.0,57,19,24,58,20,22
463,Yugoslavia,United Arab Emirates,Group Phase,1990-6-19,19.0,6.0,1990.0,4.0,1.0,0.0,0.0,0.0,0.0,52,29,19,42,35,23
464,Republic of Ireland,Norway,Group Phase,1990-6-19,19.0,6.0,1990.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,32,39,29
465,Austria,USA,Group Phase,1990-6-19,19.0,6.0,1990.0,2.0,1.0,0.0,0.0,0.0,0.0,41,33,26,33,39,28
466,Brazil,Scotland,Group Phase,1990-6-20,20.0,6.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,58,15,27,40,34,26
467,Sweden,Costa Rica,Group Phase,1990-6-20,20.0,6.0,1990.0,1.0,2.0,0.0,0.0,0.0,0.0,50,26,24,36,27,37
468,Korea Republic,Uruguay,Group Phase,1990-6-21,21.0,6.0,1990.0,0.0,1.0,0.0,0.0,0.0,0.0,58,20,22,51,20,29
469,Belgium,Saudi Arabia,Group Phase,1990-6-21,21.0,6.0,1990.0,1.0,2.0,0.0,0.0,0.0,0.0,44,30,26,41,31,28
470,Republic of Ireland,Netherlands,Group Phase,1990-6-21,21.0,6.0,1990.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,52,28,20
471,England,Egypt,Group Phase,1990-6-21,21.0,6.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,51,19,30,41,28,31
472,Cameroon,Colombia,Round of 16,1990-6-23,23.0,6.0,1990.0,2.0,1.0,0.0,0.0,0.0,0.0,49,22,29,39,33,28
473,Czech Republic,Costa Rica,Round of 16,1990-6-23,23.0,6.0,1990.0,4.0,1.0,0.0,0.0,0.0,0.0,42,30,28,36,27,37
474,Saudi Arabia,Sweden,Round of 16,1990-6-24,24.0,6.0,1990.0,0.0,1.0,0.0,0.0,0.0,0.0,41,31,28,50,26,24
475,Germany,Netherlands,Round of 16,1990-6-24,24.0,6.0,1990.0,2.0,1.0,0.0,0.0,0.0,0.0,57,19,24,52,28,20
476,Netherlands,Republic of Ireland,Round of 16,1990-6-25,25.0,6.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,52,28,20,0,0,0
477,Italy,Uruguay,Round of 16,1990-6-25,25.0,6.0,1990.0,2.0,0.0,0.0,0.0,0.0,0.0,50,20,30,51,20,29
478,Spain,Yugoslavia,Round of 16,1990-6-26,26.0,6.0,1990.0,1.0,2.0,0.0,0.0,0.0,0.0,50,25,25,52,29,19
479,England,Belgium,Round of 16,1990-6-26,26.0,6.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,51,19,30,44,30,26
480,Yugoslavia,Argentina,Quarter Finals,1990-6-30,30.0,6.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,52,29,19,34,29,37
481,Italy,Republic of Ireland,Quarter Finals,1990-6-30,30.0,6.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,50,20,30,0,0,0
482,Germany,Czech Republic,Quarter Finals,1990-7-1,1.0,7.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,57,19,24,42,30,28
483,England,Cameroon,Quarter Finals,1990-7-1,1.0,7.0,1990.0,3.0,2.0,0.0,0.0,0.0,0.0,51,19,30,49,22,29
484,Italy,Argentina,Semi Finals,1990-7-3,3.0,7.0,1990.0,1.0,1.0,0.0,0.0,0.0,0.0,50,20,30,34,29,37
485,Germany,Czech Republic,Semi Finals,1990-7-4,4.0,7.0,1990.0,1.0,1.0,0.0,0.0,0.0,0.0,57,19,24,42,30,28
486,Italy,England,Play-off for third place,1990-7-7,7.0,7.0,1990.0,2.0,1.0,0.0,0.0,0.0,0.0,50,20,30,51,19,30
487,Germany,Argentina,Finals,1990-7-8,8.0,7.0,1990.0,1.0,0.0,0.0,0.0,0.0,0.0,57,19,24,34,29,37
488,Saudi Arabia,Russia,Group Phase,2018-6-14,14.0,6.0,2018.0,0.0,5.0,67.0,465.0,70.0,457.0,41,36,23,48,25,27
489,Uruguay,Egypt,Group Phase,2018-6-15,15.0,6.0,2018.0,1.0,0.0,14.0,1018.0,45.0,649.0,46,26,28,62,24,14
490,IR Iran,Morocco,Group Phase,2018-6-15,15.0,6.0,2018.0,1.0,0.0,37.0,708.0,41.0,686.0,63,14,23,43,26,31
491,Spain,Portugal,Group Phase,2018-6-15,15.0,6.0,2018.0,3.0,3.0,10.0,1126.0,4.0,1274.0,72,13,15,62,18,20
492,Australia,France,Group Phase,2018-6-16,16.0,6.0,2018.0,1.0,2.0,36.0,718.0,7.0,1198.0,50,26,24,59,20,21
493,Iceland,Argentina,Group Phase,2018-6-16,16.0,6.0,2018.0,1.0,1.0,22.0,908.0,5.0,1241.0,40,41,19,60,16,24
494,Denmark,Peru,Group Phase,2018-6-16,16.0,6.0,2018.0,1.0,0.0,12.0,1051.0,11.0,1125.0,42,31,27,39,36,25
495,Nigeria,Croatia,Group Phase,2018-6-16,16.0,6.0,2018.0,0.0,2.0,48.0,618.0,20.0,945.0,48,20,32,58,18,24
496,Serbia,Costa Rica,Group Phase,2018-6-17,17.0,6.0,2018.0,1.0,0.0,34.0,751.0,23.0,884.0,47,34,19,40,32,28
497,Mexico,Germany,Group Phase,2018-6-17,17.0,6.0,2018.0,1.0,0.0,15.0,989.0,1.0,1558.0,55,22,23,64,15,21
498,Switzerland,Brazil,Group Phase,2018-6-17,17.0,6.0,2018.0,1.0,1.0,6.0,1199.0,2.0,1431.0,54,24,22,71,11,18
499,Korea Republic,Sweden,Group Phase,2018-6-18,18.0,6.0,2018.0,0.0,1.0,57.0,544.0,24.0,880.0,53,27,20,53,28,19
500,Panama,Belgium,Group Phase,2018-6-18,18.0,6.0,2018.0,0.0,3.0,55.0,571.0,3.0,1298.0,40,30,30,56,22,22
501,England,Tunisia,Group Phase,2018-6-18,18.0,6.0,2018.0,2.0,1.0,12.0,1051.0,21.0,910.0,62,13,25,42,25,33
502,Japan,Colombia,Group Phase,2018-6-19,19.0,6.0,2018.0,2.0,1.0,61.0,521.0,16.0,986.0,57,21,22,48,26,26
503,Senegal,Poland,Group Phase,2018-6-19,19.0,6.0,2018.0,2.0,1.0,27.0,838.0,8.0,1183.0,47,22,31,46,24,30
504,Egypt,Russia,Group Phase,2018-6-19,19.0,6.0,2018.0,1.0,3.0,45.0,649.0,70.0,457.0,62,24,14,48,25,27
505,Morocco,Portugal,Group Phase,2018-6-20,20.0,6.0,2018.0,0.0,1.0,41.0,686.0,4.0,1274.0,43,26,31,62,18,20
506,Saudi Arabia,Uruguay,Group Phase,2018-6-20,20.0,6.0,2018.0,0.0,1.0,67.0,465.0,14.0,1018.0,41,36,23,46,26,28
507,Spain,IR Iran,Group Phase,2018-6-20,20.0,6.0,2018.0,1.0,0.0,10.0,1126.0,37.0,708.0,72,13,15,63,14,23
508,Australia,Denmark,Group Phase,2018-6-21,21.0,6.0,2018.0,1.0,1.0,36.0,718.0,12.0,1051.0,50,26,24,42,31,27
509,Peru,France,Group Phase,2018-6-21,21.0,6.0,2018.0,0.0,1.0,11.0,1125.0,7.0,1198.0,39,36,25,59,20,21
510,Croatia,Argentina,Group Phase,2018-6-21,21.0,6.0,2018.0,3.0,0.0,20.0,945.0,5.0,1241.0,58,18,24,60,16,24
511,Costa Rica,Brazil,Group Phase,2018-6-22,22.0,6.0,2018.0,0.0,2.0,23.0,884.0,2.0,1431.0,40,32,28,71,11,18
512,Iceland,Nigeria,Group Phase,2018-6-22,22.0,6.0,2018.0,0.0,2.0,22.0,908.0,48.0,618.0,40,41,19,48,20,32
513,Switzerland,Serbia,Group Phase,2018-6-22,22.0,6.0,2018.0,2.0,1.0,6.0,1199.0,34.0,751.0,54,24,22,47,34,19
514,Tunisia,Belgium,Group Phase,2018-6-23,23.0,6.0,2018.0,2.0,5.0,21.0,910.0,3.0,1298.0,42,25,33,56,22,22
515,Mexico,Korea Republic,Group Phase,2018-6-23,23.0,6.0,2018.0,2.0,1.0,15.0,989.0,57.0,544.0,55,22,23,53,27,20
516,Sweden,Germany,Group Phase,2018-6-23,23.0,6.0,2018.0,1.0,2.0,24.0,880.0,1.0,1558.0,53,28,19,64,15,21
517,Panama,England,Group Phase,2018-6-24,24.0,6.0,2018.0,1.0,6.0,55.0,571.0,12.0,1051.0,40,30,30,62,13,25
518,Senegal,Japan,Group Phase,2018-6-24,24.0,6.0,2018.0,2.0,2.0,27.0,838.0,61.0,521.0,47,22,31,57,21,22
519,Colombia,Poland,Group Phase,2018-6-24,24.0,6.0,2018.0,3.0,0.0,16.0,986.0,8.0,1183.0,48,26,26,46,24,30
520,Russia,Uruguay,Group Phase,2018-6-25,25.0,6.0,2018.0,0.0,3.0,70.0,457.0,14.0,1018.0,48,25,27,46,26,28
521,Egypt,Saudi Arabia,Group Phase,2018-6-25,25.0,6.0,2018.0,1.0,2.0,45.0,649.0,67.0,465.0,62,24,14,41,36,23
522,Morocco,Spain,Group Phase,2018-6-25,25.0,6.0,2018.0,2.0,2.0,41.0,686.0,10.0,1126.0,43,26,31,72,13,15
523,Portugal,IR Iran,Group Phase,2018-6-25,25.0,6.0,2018.0,1.0,1.0,4.0,1274.0,37.0,708.0,62,18,20,63,14,23
524,Peru,Australia,Group Phase,2018-6-26,26.0,6.0,2018.0,2.0,0.0,11.0,1125.0,36.0,718.0,39,36,25,50,26,24
525,France,Denmark,Group Phase,2018-6-26,26.0,6.0,2018.0,0.0,0.0,7.0,1198.0,12.0,1051.0,59,20,21,42,31,27
526,Argentina,Nigeria,Group Phase,2018-6-26,26.0,6.0,2018.0,2.0,1.0,5.0,1241.0,48.0,618.0,60,16,24,48,20,32
527,Croatia,Iceland,Group Phase,2018-6-26,26.0,6.0,2018.0,2.0,1.0,20.0,945.0,22.0,908.0,58,18,24,40,41,19
528,Germany,Korea Republic,Group Phase,2018-6-27,27.0,6.0,2018.0,0.0,2.0,1.0,1558.0,57.0,544.0,64,15,21,53,27,20
529,Sweden,Mexico,Group Phase,2018-6-27,27.0,6.0,2018.0,3.0,0.0,24.0,880.0,15.0,989.0,53,28,19,55,22,23
530,Brazil,Serbia,Group Phase,2018-6-27,27.0,6.0,2018.0,2.0,0.0,2.0,1431.0,34.0,751.0,71,11,18,47,34,19
531,Costa Rica,Switzerland,Group Phase,2018-6-27,27.0,6.0,2018.0,2.0,2.0,23.0,884.0,6.0,1199.0,40,32,28,54,24,22
532,Poland,Japan,Group Phase,2018-6-28,28.0,6.0,2018.0,1.0,0.0,8.0,1183.0,61.0,521.0,46,24,30,57,21,22
533,Colombia,Senegal,Group Phase,2018-6-28,28.0,6.0,2018.0,1.0,0.0,16.0,986.0,27.0,838.0,48,26,26,47,22,31
534,Tunisia,Panama,Group Phase,2018-6-28,28.0,6.0,2018.0,2.0,1.0,21.0,910.0,55.0,571.0,42,25,33,40,30,30
535,Belgium,England,Group Phase,2018-6-28,28.0,6.0,2018.0,1.0,0.0,3.0,1298.0,12.0,1051.0,56,22,22,62,13,25
536,Argentina,France,Round of 16,2018-6-30,30.0,6.0,2018.0,3.0,4.0,5.0,1241.0,7.0,1198.0,60,16,24,59,20,21
537,Portugal,Uruguay,Round of 16,2018-6-30,30.0,6.0,2018.0,1.0,2.0,4.0,1274.0,14.0,1018.0,62,18,20,46,26,28
538,Russia,Spain,Round of 16,2018-7-1,1.0,7.0,2018.0,1.0,1.0,70.0,457.0,10.0,1126.0,48,25,27,72,13,15
539,Denmark,Croatia,Round of 16,2018-7-1,1.0,7.0,2018.0,1.0,1.0,12.0,1051.0,20.0,945.0,42,31,27,58,18,24
