Country,Russia,Distance_km,Mileage
Norway , Russia,"4,730","2,939"
Nepal , Russia,"4,002","2,487"
Nauru , Russia,"8,603","5,346"
Niue , Russia,"11,593","7,204"
New Zealand , Russia,"12,979","8,065"
Oman , Russia,"5,819","3,616"
Peru , Russia,"14,196","8,821"
French Polynesia , Russia,"12,537","7,790"
Papua New Guinea , Russia,"8,243","5,122"
Philippines , Russia,"5,569","3,460"
Pakistan , Russia,"4,334","2,693"
Poland , Russia,"4,964","3,084"
Saint Pierre and Miquelon , Russia,"7,849","4,877"
Pitcairn , Russia,"14,270","8,867"
Puer, Rico , Russia,"11,119","6,909"
Palestinian Terri,ry , Russia,"5,881","3,654"
Portugal , Russia,"7,311","4,543"
Palau , Russia,"6,469","4,020"
Paraguay , Russia,"15,603","9,695"
Qatar , Russia,"5,675","3,526"
Romania , Russia,"5,180","3,219"
Serbia , Russia,"5,543","3,444"
Russia , Rwanda,"9,433","5,861"
Russia , Saudi Arabia,"6,125","3,806"
Russia , Solomon Islands,"9,219","5,728"
Russia , Seychelles,"8,497","5,280"
Russia , Sudan,"7,965","4,949"
Russia , South Sudan,"8,492","5,277"
Russia , Sweden,"4,348","2,702"
Russia , Singapore,"6,692","4,158"
Russia , Slovenia,"5,648","3,510"
Russia , Svalbard and Jan Mayen,"3,242","2,014"
Russia , Slovakia,"5,208","3,236"
Russia , Sierra Leone,"10,553","6,557"
Russia , Senegal,"10,066","6,255"
Russia , Somalia,"7,914","4,918"
Russia , Suriname,"12,564","7,807"
Russia , Sao ,me and Principe,"10,449","6,493"
Russia , El Salvador,"11,547","7,175"
Russia , Sint Maarten,"11,108","6,902"
Russia , Syria,"5,424","3,370"
Russia , Swaziland,"11,775","7,317"
Russia , Turks and Caicos Islands,"10,758","6,685"
Russia , Chad,"8,321","5,170"
Russia , French Southern Terri,ries,"12,730","7,910"
Russia , ,go,"9,920","6,164"
Russia , Thailand,"5,088","3,162"
Russia , Tajikistan,"3,422","2,126"
Russia , ,kelau,"10,529","6,542"
Russia , East Timor,"8,027","4,988"
Russia , Tuenistan,"3,977","2,471"
Russia , Tunisia,"7,032","4,369"
Russia , ,nga,"11,528","7,163"
Russia , Turkey,"5,251","3,263"
Russia , Trinidad and ,bago,"11,899","7,394"
Russia , Tuvalu,"9,874","6,135"
Russia , Tanzania,"9,617","5,976"
Russia , Ukraine,"4,666","2,899"
Russia , Uganda,"8,982","5,581"
Russia , United States Minor Outlying Islands,"6,626","4,117"
Russia , United States,"8,886","5,522"
Russia , Uruguay,"16,516","10,263"
Russia , Uzbekistan,"3,509","2,180"
Russia , Vatican,"6,149","3,821"
Russia , Saint Vincent and the Grenadines,"11,616","7,218"
Russia , Venezuela,"12,427","7,722"
Russia , British Virgin Islands,"11,081","6,885"
Russia , U.S. Virgin Islands,"11,092","6,892"
Russia , Vietnam,"5,283","3,283"
Russia , Vanuatu,"10,101","6,276"
Russia , Wallis and Futuna,"10,708","6,654"
Russia , Samoa,"10,962","6,811"
Russia , Yemen,"6,766","4,204"
Russia , Mayotte,"9,777","6,075"
Russia , South Africa,"12,577","7,815"
Russia , Zambia,"10,639","6,611"
Russia , Zimbabwe,"11,152","6,930"
Russia , Netherlands Antilles,"11,798","7,331"
Russia , Belize,"11,177","6,945"
Russia , Djibouti,"7,428","4,616"
Russia , Georgia,"4,532","2,816"
Russia , Guadeloupe,"11,287","7,013"
Russia , Guatemala,"11,309","7,027"
Russia , Saint Lucia,"11,541","7,171"
Russia , Luxembourg,"5,727","3,559"
Russia , Martinique,"11,460","7,121"
Russia , Mexico,"10,222","6,352"
Russia , Niger,"8,668","5,386"
Russia , Panama,"12,206","7,584"
Russia , Reunion,"10,195","6,335"
Russia , Saint Helena,"12,673","7,875"
Russia , San Marino,"5,965","3,706"
Russia , Taiwan,"4,371","2,716"
